date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:31	30982/30982	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header-side-slide-right.html	webdesign-finder.com/html/nafta/header-side-slide-right.html	(from http://webdesign-finder.com/html/nafta/)
14:30:32	31002/31002	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header-side-sticked.html	webdesign-finder.com/html/nafta/header-side-sticked.html	(from http://webdesign-finder.com/html/nafta/)
14:30:33	31031/31031	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header-side-sticked-right.html	webdesign-finder.com/html/nafta/header-side-sticked-right.html	(from http://webdesign-finder.com/html/nafta/)
14:30:34	33629/33629	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/title1.html	webdesign-finder.com/html/nafta/title1.html	(from http://webdesign-finder.com/html/nafta/)
14:30:34	37945/37945	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/title2.html	webdesign-finder.com/html/nafta/title2.html	(from http://webdesign-finder.com/html/nafta/)
14:30:36	37899/37899	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/title3.html	webdesign-finder.com/html/nafta/title3.html	(from http://webdesign-finder.com/html/nafta/)
14:30:36	37819/37819	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/title4.html	webdesign-finder.com/html/nafta/title4.html	(from http://webdesign-finder.com/html/nafta/)
14:30:38	37845/37845	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/title5.html	webdesign-finder.com/html/nafta/title5.html	(from http://webdesign-finder.com/html/nafta/)
14:30:38	37835/37835	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/title6.html	webdesign-finder.com/html/nafta/title6.html	(from http://webdesign-finder.com/html/nafta/)
14:30:40	33646/33646	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/footer1.html	webdesign-finder.com/html/nafta/footer1.html	(from http://webdesign-finder.com/html/nafta/)
14:30:41	32933/32933	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/footer2.html	webdesign-finder.com/html/nafta/footer2.html	(from http://webdesign-finder.com/html/nafta/)
14:30:42	31773/31773	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/footer3.html	webdesign-finder.com/html/nafta/footer3.html	(from http://webdesign-finder.com/html/nafta/)
14:30:43	32740/32740	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/footer4.html	webdesign-finder.com/html/nafta/footer4.html	(from http://webdesign-finder.com/html/nafta/)
14:30:43	34510/34510	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/footer5.html	webdesign-finder.com/html/nafta/footer5.html	(from http://webdesign-finder.com/html/nafta/)
14:30:44	29596/29596	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/footer6.html	webdesign-finder.com/html/nafta/footer6.html	(from http://webdesign-finder.com/html/nafta/)
14:30:46	32930/32930	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/copyright1.html	webdesign-finder.com/html/nafta/copyright1.html	(from http://webdesign-finder.com/html/nafta/)
14:30:47	33376/33376	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/copyright2.html	webdesign-finder.com/html/nafta/copyright2.html	(from http://webdesign-finder.com/html/nafta/)
14:30:47	33570/33570	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/copyright3.html	webdesign-finder.com/html/nafta/copyright3.html	(from http://webdesign-finder.com/html/nafta/)
14:30:49	33672/33672	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/copyright4.html	webdesign-finder.com/html/nafta/copyright4.html	(from http://webdesign-finder.com/html/nafta/)
14:30:50	33166/33166	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/copyright5.html	webdesign-finder.com/html/nafta/copyright5.html	(from http://webdesign-finder.com/html/nafta/)
14:30:51	33388/33388	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/copyright6.html	webdesign-finder.com/html/nafta/copyright6.html	(from http://webdesign-finder.com/html/nafta/)
14:30:52	50820/50820	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/blog-right.html	webdesign-finder.com/html/nafta/blog-right.html	(from http://webdesign-finder.com/html/nafta/)
14:30:53	50816/50816	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/blog-left.html	webdesign-finder.com/html/nafta/blog-left.html	(from http://webdesign-finder.com/html/nafta/)
14:30:53	46973/46973	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/blog-full.html	webdesign-finder.com/html/nafta/blog-full.html	(from http://webdesign-finder.com/html/nafta/)
14:30:55	46949/46949	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/blog-single-right.html	webdesign-finder.com/html/nafta/blog-single-right.html	(from http://webdesign-finder.com/html/nafta/)
14:30:55	46979/46979	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/blog-single-left.html	webdesign-finder.com/html/nafta/blog-single-left.html	(from http://webdesign-finder.com/html/nafta/)
14:30:57	43116/43116	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:53%20GMT	http://webdesign-finder.com/html/nafta/blog-single-full.html	webdesign-finder.com/html/nafta/blog-single-full.html	(from http://webdesign-finder.com/html/nafta/)
14:30:58	54005/54005	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-right.html	webdesign-finder.com/html/nafta/shop-right.html	(from http://webdesign-finder.com/html/nafta/)
14:30:59	33140/33140	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-account-dashboard.html	webdesign-finder.com/html/nafta/shop-account-dashboard.html	(from http://webdesign-finder.com/html/nafta/)
14:30:59	35491/35491	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-account-details.html	webdesign-finder.com/html/nafta/shop-account-details.html	(from http://webdesign-finder.com/html/nafta/)
14:31:01	33886/33886	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-account-addresses.html	webdesign-finder.com/html/nafta/shop-account-addresses.html	(from http://webdesign-finder.com/html/nafta/)
14:31:03	51517/51517	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-account-address-edit.html	webdesign-finder.com/html/nafta/shop-account-address-edit.html	(from http://webdesign-finder.com/html/nafta/)
14:31:03	36533/36533	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-account-orders.html	webdesign-finder.com/html/nafta/shop-account-orders.html	(from http://webdesign-finder.com/html/nafta/)
14:31:03	36329/36329	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-account-order-single.html	webdesign-finder.com/html/nafta/shop-account-order-single.html	(from http://webdesign-finder.com/html/nafta/)
14:31:05	35576/35576	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-account-downloads.html	webdesign-finder.com/html/nafta/shop-account-downloads.html	(from http://webdesign-finder.com/html/nafta/)
14:31:06	32175/32175	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-account-password-reset.html	webdesign-finder.com/html/nafta/shop-account-password-reset.html	(from http://webdesign-finder.com/html/nafta/)
14:31:07	33245/33245	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-account-login.html	webdesign-finder.com/html/nafta/shop-account-login.html	(from http://webdesign-finder.com/html/nafta/)
14:31:08	46954/46954	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-full.html	webdesign-finder.com/html/nafta/shop-full.html	(from http://webdesign-finder.com/html/nafta/)
14:31:08	54011/54011	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-left.html	webdesign-finder.com/html/nafta/shop-left.html	(from http://webdesign-finder.com/html/nafta/)
14:31:10	64531/64531	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-product-right.html	webdesign-finder.com/html/nafta/shop-product-right.html	(from http://webdesign-finder.com/html/nafta/)
14:31:11	64539/64539	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-product-left.html	webdesign-finder.com/html/nafta/shop-product-left.html	(from http://webdesign-finder.com/html/nafta/)
14:31:12	50761/50761	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shop-cart.html	webdesign-finder.com/html/nafta/shop-cart.html	(from http://webdesign-finder.com/html/nafta/)
